Woonplaats code,Plaats,Plaatsnaam lengte,Postcode,Gemeente,Provincie
3552,Wijk aan Zee,12,1949–1949,Beverwijk,Noord-Holland
3551,Waverveen,9,3646–3646,De Ronde Venen,Utrecht
3550,Vinkeveen,9,3645–3645,De Ronde Venen,Utrecht
3549,Mijdrecht,9,3641–3643,De Ronde Venen,Utrecht
3548,De Hoef,7,1426–1426,De Ronde Venen,Utrecht
3547,Amstelhoek,10,1427–1427,De Ronde Venen,Utrecht
3545,"Wirdum /Wurdum",15,9088–9088,Leeuwarden,Fryslân
3542,Warmond,7,2361–2362,Teylingen,Zuid-Holland
3541,Leimuiden,9,2451–2451,Kaag en Braassem,Zuid-Holland
3540,Oud Ade,7,2374–2374,Kaag en Braassem,Zuid-Holland
3539,De Kwakel,9,1424–1424,Uithoorn,Noord-Holland
3538,Velsen-Noord,12,1951–1951,Velsen,Noord-Holland
3537,Loosdrecht,10,1231–1231,Wijdemeren,Noord-Holland
3536,Velsen-Zuid,11,1981–1981,Velsen,Noord-Holland
3535,Hillegom,8,2181–2182,Hillegom,Zuid-Holland
3534,Spaarndam,9,2064–2064,Haarlemmermeer,Noord-Holland
3533,Bennebroek,10,2121–2121,Bloemendaal,Noord-Holland
3532,Buurmalsen,10,4197–4197,West Betuwe,Gelderland
3531,Tricht,6,4196–4196,West Betuwe,Gelderland
3530,Meteren,7,4194–4194,West Betuwe,Gelderland
3529,Geldermalsen,12,4191–4191,West Betuwe,Gelderland
3528,Rhenoy,6,4152–4152,West Betuwe,Gelderland
3527,Acquoy,6,4151–4151,West Betuwe,Gelderland
3525,Vreeland,8,3633–3633,Stichtse Vecht,Utrecht
3523,"Oudehaske /Aldehaske",21,8465–8465,De Fryske Marren,Fryslân
3522,"Heerenveen /It Hearrenfean",27,8441–8448,Heerenveen,Fryslân
3521,Nijehaske,9,8466–8466,De Fryske Marren,Fryslân
3520,Son en Breugel,14,5691–5692,Son en Breugel,Noord-Brabant
3519,Oudheusden,10,5156–5156,Heusden,Noord-Brabant
3518,Heusden,7,5256–5256,Heusden,Noord-Brabant
3517,Herpt,5,5255–5255,Heusden,Noord-Brabant
3516,Heesbeen,8,5158–5158,Heusden,Noord-Brabant
3515,Hedikhuizen,11,5257–5257,Heusden,Noord-Brabant
3514,Doeveren,8,5157–5157,Heusden,Noord-Brabant
3513,Geleen,6,6161–6167,Sittard-Geleen,Limburg
3512,Sittard,7,6131–6137,Sittard-Geleen,Limburg
3511,Borne,5,7621–7623,Borne,Overijssel
3510,Hengelo,7,7551–7559,Hengelo,Overijssel
3509,Blauwestad,10,9686–9686,Oldambt,Groningen
3508,Beerta,6,9686–9686,Oldambt,Groningen
3506,"Offingawier /Offenwier",23,8626–8626,Súdwest-Fryslân,Fryslân
3505,"Loënga /Loaiïngea",18,8631–8631,Súdwest-Fryslân,Fryslân
3504,"Sneek /Snits",13,8601–8608,Súdwest-Fryslân,Fryslân
3503,Vlijmen,7,5251–5252,Heusden,Noord-Brabant
3502,Nieuwkuijk,10,5253–5253,Heusden,Noord-Brabant
3500,Haarsteeg,9,5254–5254,Heusden,Noord-Brabant
3497,Nederasselt,11,6612–6612,Heumen,Gelderland
3496,Overasselt,10,6611–6611,Heumen,Gelderland
3495,Heumen,6,6582–6582,Heumen,Gelderland
3494,Malden,6,6581–6581,Heumen,Gelderland
3493,Achtmaal,8,4885–4885,Zundert,Noord-Brabant
3492,Klein Zundert,13,4882–4882,Zundert,Noord-Brabant
3491,Wernhout,8,4884–4884,Zundert,Noord-Brabant
3490,Rijsbergen,10,4891–4891,Zundert,Noord-Brabant
3489,Zundert,7,4881–4881,Zundert,Noord-Brabant
3488,Meerstad,8,9613–9613,Groningen,Groningen
3487,Zandeweer,9,9997–9997,Het Hogeland,Groningen
3486,Warffum,7,9989–9989,Het Hogeland,Groningen
3485,Usquert,7,9988–9988,Het Hogeland,Groningen
3484,Uithuizermeeden,15,9982–9982,Het Hogeland,Groningen
3483,Uithuizen,9,9981–9981,Het Hogeland,Groningen
3482,Stitswerd,9,9999–9999,Het Hogeland,Groningen
3481,Startenhuizen,13,9924–9925,Het Hogeland,Groningen
3480,Rottum,6,9998–9998,Het Hogeland,Groningen
3479,Roodeschool,11,9983–9983,Het Hogeland,Groningen
3478,Oudeschip,9,9984–9984,Het Hogeland,Groningen
3477,Oosternieland,13,9985–9985,Het Hogeland,Groningen
3476,Oldenzijl,9,9986–9986,Het Hogeland,Groningen
3475,Kantens,7,9995–9995,Het Hogeland,Groningen
3474,Eppenhuizen,11,9996–9996,Het Hogeland,Groningen
3473,Eemshaven,9,9979–9979,Het Hogeland,Groningen
3472,Teeffelen,9,5395–5395,Oss,Noord-Brabant
3471,Maren-Kessel,12,5398–5398,Oss,Noord-Brabant
3470,Oijen,5,5394–5394,Oss,Noord-Brabant
3469,Lithoijen,9,5396–5396,Oss,Noord-Brabant
3468,Lith,4,5397–5397,Oss,Noord-Brabant
3467,Yerseke,7,4401–4401,Reimerswaal,Zeeland
3466,Waarde,6,4414–4414,Reimerswaal,Zeeland
3465,Rilland,7,4411–4411,Reimerswaal,Zeeland
3464,Oostdijk,8,4415–4415,Reimerswaal,Zeeland
3463,Kruiningen,10,4416–4416,Reimerswaal,Zeeland
3462,Krabbendijke,12,4413–4413,Reimerswaal,Zeeland
3461,Hansweert,9,4417–4417,Reimerswaal,Zeeland
3460,Zijldijk,8,9987–9987,Loppersum,Groningen
3459,Zeerijp,7,9914–9914,Loppersum,Groningen
3458,'t Zandt,8,9915–9915,Loppersum,Groningen
3457,“Wirdum Gn”,11,9917–9917,Loppersum,Groningen
3456,Westerwijtwerd,14,9993–9993,Loppersum,Groningen
3455,Westeremden,11,9922–9922,Loppersum,Groningen
3454,Toornwerd,9,9994–9994,Loppersum,Groningen
3453,Stedum,6,9921–9921,Loppersum,Groningen
3452,Startenhuizen,13,9924–9924,Loppersum,Groningen
3451,Oosterwijtwerd,14,9911–9911,Loppersum,Groningen
3450,Middelstum,10,9991–9991,Loppersum,Groningen
3449,Loppersum,9,9919–9919,Loppersum,Groningen
3448,Leermens,8,9912–9912,Loppersum,Groningen
3447,Huizinge,8,9992–9992,Loppersum,Groningen
3446,Garsthuizen,11,9923–9923,Loppersum,Groningen
3445,Garrelsweer,11,9918–9918,Loppersum,Groningen
3444,Eenum,5,9913–9913,Loppersum,Groningen
3443,Panningen,9,5981–5981,Peel en Maas,Limburg
3442,Koningslust,11,5984–5984,Peel en Maas,Limburg
3441,Helden,6,5988–5988,Peel en Maas,Limburg
3440,Grashoek,8,5985–5985,Peel en Maas,Limburg
3439,Egchel,6,5987–5987,Peel en Maas,Limburg
3438,Beringe,7,5986–5986,Peel en Maas,Limburg
3437,Bavel AC,8,4859–4859,Alphen-Chaam,Noord-Brabant
3436,Ulvenhout AC,12,4858–4858,Alphen-Chaam,Noord-Brabant
3435,Strijbeek,9,4856–4856,Alphen-Chaam,Noord-Brabant
3434,Galder,6,4855–4855,Alphen-Chaam,Noord-Brabant
3433,Chaam,5,4861–4861,Alphen-Chaam,Noord-Brabant
3432,Alphen,6,5131–5131,Alphen-Chaam,Noord-Brabant
3431,Zuurdijk,8,9966–9966,Het Hogeland,Groningen
3430,Zoutkamp,8,9974–9974,Het Hogeland,Groningen
3429,Westernieland,13,9969–9969,Het Hogeland,Groningen
3428,Wehe-den Hoorn,14,9964–9964,Het Hogeland,Groningen
3427,Warfhuizen,10,9963–9963,Het Hogeland,Groningen
3426,Vierhuizen,10,9975–9975,Het Hogeland,Groningen
3425,Ulrum,5,9971–9971,Het Hogeland,Groningen
3424,Schouwerzijl,12,9962–9962,Het Hogeland,Groningen
3423,Pieterburen,11,9968–9968,Het Hogeland,Groningen
3422,Niekerk,7,9972–9972,Het Hogeland,Groningen
3421,Mensingeweer,12,9961–9961,Het Hogeland,Groningen
3420,Leens,5,9965–9965,Het Hogeland,Groningen
3419,Lauwersoog,10,9976–9976,Het Hogeland,Groningen
3418,Kloosterburen,13,9977–9977,Het Hogeland,Groningen
3417,Houwerzijl,10,9973–9973,Het Hogeland,Groningen
3416,Hornhuizen,10,9978–9978,Het Hogeland,Groningen
3415,Eenrum,6,9967–9967,Het Hogeland,Groningen
3414,Wierum,6,9141–9141,Noardeast-Fryslân,Fryslân
3413,"Wetsens /Wetzens",17,9122–9122,Noardeast-Fryslân,Fryslân
3412,Waaxens,7,9152–9152,Noardeast-Fryslân,Fryslân
3411,Ternaard,8,9145–9145,Noardeast-Fryslân,Fryslân
3410,Raard,5,9155–9155,Noardeast-Fryslân,Fryslân
3409,"Paesens /Peazens",17,9136–9136,Noardeast-Fryslân,Fryslân
3408,"Oostrum /Eastrum",17,9125–9125,Noardeast-Fryslân,Fryslân
3407,"Oosternijkerk /Easternijtsjerk",31,9137–9137,Noardeast-Fryslân,Fryslân
3406,"Niawier /Nijewier",18,9138–9138,Noardeast-Fryslân,Fryslân
3405,Nes,3,9143–9143,Noardeast-Fryslân,Fryslân
3404,"Morra /Moarre",14,9135–9135,Noardeast-Fryslân,Fryslân
3403,Moddergat,9,9142–9142,Noardeast-Fryslân,Fryslân
3402,"Metslawier /Mitselwier",23,9123–9123,Noardeast-Fryslân,Fryslân
3401,"Lioessens /Ljussens",20,9134–9134,Noardeast-Fryslân,Fryslân
3400,Jouswier,8,9124–9124,Noardeast-Fryslân,Fryslân
3399,"Holwerd /Holwert",17,9151–9151,Noardeast-Fryslân,Fryslân
3398,"Hiaure /De Lytse Jouwer",24,9148–9148,Noardeast-Fryslân,Fryslân
3397,"Hantumhuizen /Hantumhuzen",26,9144–9144,Noardeast-Fryslân,Fryslân
3396,"Hantumeruitburen /Hantumerútbuorren",36,9146–9146,Noardeast-Fryslân,Fryslân
3395,Hantum,6,9147–9147,Noardeast-Fryslân,Fryslân
3394,Foudgum,7,9154–9154,Noardeast-Fryslân,Fryslân
3393,"Engwierum /Ingwierrum",22,9132–9132,Noardeast-Fryslân,Fryslân
3392,"Ee /Ie",7,9131–9131,Noardeast-Fryslân,Fryslân
3391,Dokkum,6,9101–9103,Noardeast-Fryslân,Fryslân
3390,Brantgum,8,9153–9153,Noardeast-Fryslân,Fryslân
3389,"Bornwird /Boarnwert",20,9156–9156,Noardeast-Fryslân,Fryslân
3388,"Anjum /Eanjum",14,9133–9133,Noardeast-Fryslân,Fryslân
3387,"Aalsum /Ealsum",15,9121–9121,Noardeast-Fryslân,Fryslân
3386,Appingedam,10,9901–9903,Appingedam,Groningen
3385,Zoelmond,8,4111–4111,Buren,Gelderland
3384,Zoelen,6,4011–4011,Buren,Gelderland
3383,“Rijswijk (GLD)”,16,4023–4023,Buren,Gelderland
3382,Ravenswaaij,11,4119–4119,Buren,Gelderland
3381,Ommeren,7,4032–4032,Buren,Gelderland
3380,Maurik,6,4021–4021,Buren,Gelderland
3379,Lienden,7,4033–4033,Buren,Gelderland
3378,Kerk-Avezaath,13,4012–4012,Buren,Gelderland
3377,Kapel-Avezaath,14,4016–4016,Buren,Gelderland
3376,Ingen,5,4031–4031,Buren,Gelderland
3375,Erichem,7,4117–4117,Buren,Gelderland
3374,Eck en Wiel,11,4024–4024,Buren,Gelderland
3373,Buurmalsen,10,4116–4116,Buren,Gelderland
3372,Buren,5,4116–4116,Buren,Gelderland
3371,Beusichem,9,4112–4112,Buren,Gelderland
3370,Asch,4,4115–4115,Buren,Gelderland
3369,Zonnewijnen,11,4062–4062,West Betuwe,Gelderland
3368,Waardenburg,11,4181–4181,West Betuwe,Gelderland
3367,Varik,5,4064–4064,West Betuwe,Gelderland
3366,Tuil,4,4176–4176,West Betuwe,Gelderland
3365,Opijnen,7,4184–4184,West Betuwe,Gelderland
3364,Ophemert,8,4061–4061,West Betuwe,Gelderland
3363,Neerijnen,9,4182–4182,West Betuwe,Gelderland
3362,Hellouw,7,4174–4174,West Betuwe,Gelderland
3361,Heesselt,8,4063–4063,West Betuwe,Gelderland
3360,Haaften,7,4175–4175,West Betuwe,Gelderland
3359,Est,3,4185–4185,West Betuwe,Gelderland
3358,"Wijnjewoude /Wynjewâld",23,9241–9241,Opsterland,Fryslân
3357,"Ureterp /Oerterp",17,9247–9247,Opsterland,Fryslân
3356,"Tijnje /De Tynje",17,8406–8406,Opsterland,Fryslân
3355,Terwispel,9,8407–8407,Opsterland,Fryslân
3354,"Siegerswoude /Sigerswâld",25,9248–9248,Opsterland,Fryslân
3353,Olterterp,9,9246–9246,Opsterland,Fryslân
3352,Nij Beets,9,9245–9245,Opsterland,Fryslân
3351,"Luxwoude /Lúkswâld",19,8405–8405,Opsterland,Fryslân
3350,"Lippenhuizen /Lippenhuzen",26,8408–8408,Opsterland,Fryslân
3349,"Langezwaag /Langsweagen",24,8404–8404,Opsterland,Fryslân
3348,"Jonkerslân /Jonkersland",24,8403–8403,Opsterland,Fryslân
3347,"Hemrik /De Himrik",18,8409–8409,Opsterland,Fryslân
3346,"Gorredijk /De Gordyk",21,8401–8401,Opsterland,Fryslân
3345,"Frieschepalen /Fryske Peallen",30,9249–9249,Opsterland,Fryslân
3344,Drachten-Azeven,15,9207–9207,Opsterland,Fryslân
3343,"Beetsterzwaag /Beetstersweach",30,9244–9244,Opsterland,Fryslân
3342,"Bakkeveen /Bakkefean",21,9243–9243,Opsterland,Fryslân
3341,Maarsbergen,11,3953–3953,Utrechtse Heuvelrug,Utrecht
3340,Maarn,5,3951–3951,Utrechtse Heuvelrug,Utrecht
3339,Doorn,5,3941–3941,Utrechtse Heuvelrug,Utrecht
3337,Amerongen,9,3958–3958,Utrechtse Heuvelrug,Utrecht
3335,Driebergen-Rijsenburg,21,3971–3972,Utrechtse Heuvelrug,Utrecht
3334,"Vrouwenparochie /Froubuorren",29,9077–9077,Waadhoeke,Fryslân
3333,"Minnertsga /Minnertsgea",24,9047–9047,Waadhoeke,Fryslân
3332,"St.-Jacobiparochie /Sint Jabik",31,9079–9079,Waadhoeke,Fryslân
3331,"St.-Annaparochie /Sint-Anne",28,9076–9076,Waadhoeke,Fryslân
3330,Nij Altoenae,12,9072–9072,Waadhoeke,Fryslân
3329,Westhoek,8,9075–9075,Waadhoeke,Fryslân
3328,"Oude Bildtzijl /Aldebiltsyl",28,9078–9078,Waadhoeke,Fryslân
3327,Westerhaar-Vriezenveensewijk,28,7676–7676,Twenterand,Overijssel
3326,Vroomshoop,10,7681–7681,Twenterand,Overijssel
3325,Vriezenveen,11,7671–7672,Twenterand,Overijssel
3324,Sibculo,7,7676–7676,Twenterand,Overijssel
3323,Kloosterhaar,12,7675–7675,Twenterand,Overijssel
3322,Geerdijk,8,7686–7686,Twenterand,Overijssel
3321,Den Ham,7,7683–7683,Twenterand,Overijssel
3320,Bruinehaar,10,7675–7675,Twenterand,Overijssel
3318,"Zwagerbosch /Sweagerbosk",25,9299–9299,Noardeast-Fryslân,Fryslân
3317,"Westergeest /Westergeast",25,9295–9295,Noardeast-Fryslân,Fryslân
3316,"Warfstermolen /Warfstermûne",28,9852–9852,Noardeast-Fryslân,Fryslân
3315,"Veenklooster /Feankleaster",27,9297–9297,Noardeast-Fryslân,Fryslân
3314,"Triemen /De Trieme",19,9296–9296,Noardeast-Fryslân,Fryslân
3313,"Oudwoude /Aldwâld",18,9294–9294,Noardeast-Fryslân,Fryslân
3312,"Munnekezijl /Muntsjesyl",24,9853–9853,Noardeast-Fryslân,Fryslân
3311,"Kollumerzwaag /Kollumersweach",30,9298–9298,Noardeast-Fryslân,Fryslân
3310,"Kollumerpomp /De Pomp",22,9293–9293,Noardeast-Fryslân,Fryslân
3309,Kollum,6,9291–9291,Noardeast-Fryslân,Fryslân
3308,Burum,5,9851–9851,Noardeast-Fryslân,Fryslân
3307,Augsbuurt,9,9292–9292,Noardeast-Fryslân,Fryslân
3306,Woudrichem,10,4285–4285,Altena,Noord-Brabant
3305,Waardhuizen,11,4287–4287,Altena,Noord-Brabant
3304,Uitwijk,7,4288–4288,Altena,Noord-Brabant
3303,“Rijswijk (NB)”,15,4284–4284,Altena,Noord-Brabant
3302,Giessen,7,4283–4283,Altena,Noord-Brabant
3301,Andel,5,4281–4281,Altena,Noord-Brabant
3300,Almkerk,7,4286–4286,Altena,Noord-Brabant
3299,"Vlieland /Flylân",17,8899–8899,Vlieland,Fryslân
3298,Haarzuilens,11,3455–3455,Utrecht,Utrecht
3297,De Meern,8,3453–3454,Utrecht,Utrecht
3296,Vleuten,7,3451–3452,Utrecht,Utrecht
3295,Utrecht,7,3511–3585,Utrecht,Utrecht
3294,Warmenhuizen,12,1749–1749,Schagen,Noord-Holland
3293,Waarland,8,1738–1738,Schagen,Noord-Holland
3292,Tuitjenhorn,11,1747–1747,Schagen,Noord-Holland
3291,Sint Maarten,12,1744–1744,Schagen,Noord-Holland
3290,Oudkarspel,10,1724–1724,Schagen,Noord-Holland
3289,Dirkshorn,9,1746–1746,Schagen,Noord-Holland
3288,"Smalle Ee /Smelle Ie",21,9214–9214,Smallingerland,Fryslân
3287,"Rottevalle /Rottefalle",23,9221–9221,Smallingerland,Fryslân
3286,"Oudega /Aldegea",16,9216–9216,Smallingerland,Fryslân
3285,"Opeinde /De Pein",17,9218–9218,Smallingerland,Fryslân
3284,"Nijega /Nyegea",15,9217–9217,Smallingerland,Fryslân
3283,"Kortehemmen /Koartehimmen",26,9211–9211,Smallingerland,Fryslân
3282,"Houtigehage /De Houtigehage",28,9223–9223,Smallingerland,Fryslân
3281,"Goëngahuizen /Goaijingahuzen",29,8497–8497,Smallingerland,Fryslân
3280,"Drachtstercompagnie /De (Drachtster) Kompenije",47,9222–9222,Smallingerland,Fryslân
3279,Drachten,8,9201–9207,Smallingerland,Fryslân
3278,"De Wilgen /De Wylgen",21,9213–9213,Smallingerland,Fryslân
3277,"De Veenhoop /De Feanhoop",25,9215–9215,Smallingerland,Fryslân
3276,De Tike,7,9219–9219,Smallingerland,Fryslân
3275,"Boornbergum /Boarnburgum",25,9212–9212,Smallingerland,Fryslân
3274,"Sibrandahûs /Sijbrandahuis",27,9106–9106,Dantumadiel,Fryslân
3273,"Westerein /Zwaagwesteinde",26,9271–9271,Dantumadiel,Fryslân
3272,"Readtsjerk /Roodkerk",21,9067–9067,Dantumadiel,Fryslân
3271,"Feanwâlden /Veenwouden",23,9269–9269,Dantumadiel,Fryslân
3270,"Rinsumageast /Rinsumageest",27,9105–9105,Dantumadiel,Fryslân
3269,"Wâlterswâld /Wouterswoude",26,9113–9113,Dantumadiel,Fryslân
3268,"Driezum /Driesum",17,9114–9114,Dantumadiel,Fryslân
3267,"De Falom /De Valom",19,9109–9109,Dantumadiel,Fryslân
3266,"Damwâld /Damwoude",18,9104–9104,Dantumadiel,Fryslân
3265,"Broeksterwâld /Broeksterwoude",30,9108–9108,Dantumadiel,Fryslân
3264,Keent,5,5359–5359,Oss,Noord-Brabant
3263,Overlangel,10,5357–5357,Oss,Noord-Brabant
3262,Neerloon,8,5356–5356,Oss,Noord-Brabant
3261,Neerlangel,10,5355–5355,Oss,Noord-Brabant
3260,Demen,5,5354–5354,Oss,Noord-Brabant
3259,Dieden,6,5353–5353,Oss,Noord-Brabant
3258,Koolwijk,8,5373–5373,Oss,Noord-Brabant
3257,Huisseling,10,5358–5358,Oss,Noord-Brabant
3256,Deursen-Dennenburg,18,5352–5352,Oss,Noord-Brabant
3255,Herpen,6,5373–5373,Oss,Noord-Brabant
3254,Ravenstein,10,5371–5371,Oss,Noord-Brabant
3253,Haren,5,5368–5368,Oss,Noord-Brabant
3252,Macharen,8,5367–5367,Oss,Noord-Brabant
3251,Megen,5,5366–5366,Oss,Noord-Brabant
3250,Berghem,7,5351–5351,Oss,Noord-Brabant
3249,Oss,3,5341–5349,Oss,Noord-Brabant
3248,Wehl,4,7031–7031,Doetinchem,Gelderland
3247,Gaanderen,9,7011–7011,Doetinchem,Gelderland
3246,Doetinchem,10,7001–7009,Doetinchem,Gelderland
3245,Woldendorp,10,9946–9946,Delfzijl,Groningen
3244,Wagenborgen,11,9945–9945,Delfzijl,Groningen
3243,Termunterzijl,13,9948–9948,Delfzijl,Groningen
3242,Termunten,9,9947–9947,Delfzijl,Groningen
3241,“Spijk Gn”,10,9909–9909,Delfzijl,Groningen
3240,Meedhuizen,10,9937–9937,Delfzijl,Groningen
3239,Losdorp,7,9907–9907,Delfzijl,Groningen
3238,Krewerd,7,9904–9904,Delfzijl,Groningen
3237,Holwierde,9,9905–9905,Delfzijl,Groningen
3236,Godlinze,8,9908–9908,Delfzijl,Groningen
3235,Farmsum,7,9936–9936,Delfzijl,Groningen
3234,Delfzijl,8,9931–9934,Delfzijl,Groningen
3233,Borgsweer,9,9949–9949,Delfzijl,Groningen
3232,Bierum,6,9906–9906,Delfzijl,Groningen
3231,Voorschoten,11,2251–2254,Voorschoten,Zuid-Holland
3230,Stiens,6,9051–9051,Leeuwarden,Fryslân
3229,"Koarnjum /Cornjum",18,9056–9056,Leeuwarden,Fryslân
3228,Jelsum,6,9057–9057,Leeuwarden,Fryslân
3227,"Hyum /Hijum",12,9054–9054,Leeuwarden,Fryslân
3226,"Feinsum /Finkum",16,9053–9053,Leeuwarden,Fryslân
3225,Britsum,7,9055–9055,Leeuwarden,Fryslân
3224,"Alde Leie /Oude Leije",22,9071–9072,Leeuwarden,Fryslân
3223,Hierden,7,3849–3849,Harderwijk,Gelderland
3222,Harderwijk,10,3841–3849,Harderwijk,Gelderland
3217,Deil,4,4158–4158,West Betuwe,Gelderland
3216,Enspijk,7,4157–4157,West Betuwe,Gelderland
3215,Rumpt,5,4156–4156,West Betuwe,Gelderland
3214,Gellicum,8,4155–4155,West Betuwe,Gelderland
3213,Beesd,5,4153–4153,West Betuwe,Gelderland
3210,"Wânswert /Wanswerd",19,9178–9178,Noardeast-Fryslân,Fryslân
3209,Reitsum,7,9175–9175,Noardeast-Fryslân,Fryslân
3208,Marrum,6,9073–9073,Noardeast-Fryslân,Fryslân
3207,Lichtaard,9,9176–9176,Noardeast-Fryslân,Fryslân
3206,Jislum,6,9177–9177,Noardeast-Fryslân,Fryslân
3205,"Jannum /Janum",14,9107–9107,Noardeast-Fryslân,Fryslân
3204,"Hegebeintum /Hogebeintum",25,9173–9173,Noardeast-Fryslân,Fryslân
3203,Hallum,6,9074–9074,Noardeast-Fryslân,Fryslân
3202,"Ginnum /Genum",14,9174–9174,Noardeast-Fryslân,Fryslân
3201,"Ferwert /Ferwerd",17,9172–9172,Noardeast-Fryslân,Fryslân
3200,"Burdaard /Birdaard",19,9111–9112,Noardeast-Fryslân,Fryslân
3199,"Blije /Blija",13,9171–9171,Noardeast-Fryslân,Fryslân
3198,Velp,4,5363–5363,Grave,Noord-Brabant
3197,Grave,5,5361–5361,Grave,Noord-Brabant
3196,Gassel,6,5438–5438,Grave,Noord-Brabant
3195,Escharen,8,5364–5364,Grave,Noord-Brabant
3193,Geersdijk,9,4494–4494,Noord-Beveland,Zeeland
3192,Kats,4,4485–4485,Noord-Beveland,Zeeland
3191,Wissenkerke,11,4491–4491,Noord-Beveland,Zeeland
3190,Colijnsplaat,12,4486–4486,Noord-Beveland,Zeeland
3189,Kortgene,8,4484–4484,Noord-Beveland,Zeeland
3188,Kamperland,10,4493–4493,Noord-Beveland,Zeeland
